roi,rho_simple,p_simple,rho_partial,p_partial,attenuation
R_G_and_S_paracentral,0.17913774205334312,0.14080827939708618,0.0049324077457069794,0.9679150371551231,0.17420533430763616
R_G_and_S_subcentral,0.06876141761052247,0.5745210229181317,0.03576909024479357,0.7704504740309693,0.0329923273657289
R_G_and_S_transv_frontopol,0.17588600657654369,0.14828258761505486,0.17577639751552798,0.14853959218177987,0.000109609061015703
R_G_and_S_cingul-Ant,0.12798684691267811,0.2946230108501882,0.08593350383631713,0.48263115575744453,0.04205334307636098
R_G_and_S_cingul-Mid-Ant,0.021044939715016444,0.8637223312798253,0.05126050420168068,0.6757292458892956,-0.030215564486664234
R_G_and_S_cingul-Mid-Post,0.2284983558640848,0.058966749787469,0.1163682864450128,0.34099122698697093,0.11213006941907198
R_G_cingul-Post-dorsal,-0.06755571793934965,0.5812643101240142,-0.024990865911582026,0.8384870558154958,0.04256485202776763
R_G_cingul-Post-ventral,-0.20427475337961273,0.09225156326486122,-0.07172086225794666,0.5581246025096771,0.13255389112166607
R_G_cuneus,0.025502374862988675,0.8352271084856561,0.0288637194008038,0.8138758240976672,-0.0033613445378151245
R_G_front_inf-Opercular,0.24278407014979905,0.044425259238167716,0.12429667519181586,0.308879431311856,0.11848739495798319
R_G_front_inf-Orbital,0.37058823529411766,0.0017213659964385617,0.1665327000365364,0.1714297330451507,0.20405553525758127
R_G_front_inf-Triangul,0.2564121300694191,0.03344477486974559,0.07289002557544758,0.5517088812761906,0.18352210449397152
R_G_front_middle,0.14318597004019,0.24050612195181967,0.0998173182316405,0.4144782651156518,0.04336865180854951
R_G_front_sup,0.35089514066496164,0.0031153711360517324,0.13544026306174645,0.2671627371715748,0.2154548776032152
R_G_Ins_lg_and_S_cent_ins,0.05330654000730728,0.663549724714204,-0.06466934599926928,0.5975525465889722,-0.011362805991962002
R_G_insular_short,-0.020168067226890758,0.8693496027956533,0.07643405188162224,0.5324804574785253,-0.05626598465473148
R_G_occipital_middle,-0.11611253196930947,0.342060691465103,-0.09729630982827915,0.4264224663215407,0.01881622214103032
R_G_occipital_sup,-0.06883449031786629,0.5741135046219916,-0.08396054073803436,0.4927761904193707,-0.015126050420168069
R_G_oc-temp_lat-fusifor,-0.17753014249177934,0.14446725607638472,-0.14990865911582024,0.21890420320673115,0.0276214833759591
R_G_oc-temp_med-Lingual,-0.07128242601388382,0.5605396056109337,-0.006393861892583121,0.958415837170451,0.0648885641213007
R_G_oc-temp_med-Parahip,-0.1944464742418707,0.10937509919411893,-0.06273291925465839,0.6085924097914638,0.13171355498721232
R_G_orbital,0.2653270003653636,0.02756922460750927,0.18458165875045673,0.12893404325305566,0.08074534161490687
R_G_pariet_inf-Angular,0.03975155279503106,0.7457131787120399,-0.008001461454146878,0.9479734299053155,0.031750091340884176
R_G_pariet_inf-Supramar,0.14881256850566316,0.22233000751768328,-0.03876507124588967,0.7518180228906408,0.11004749725977349
R_G_parietal_sup,0.04384362440628426,0.720559446692518,-0.059956156375593726,0.6245759658251733,-0.016112531969309465
R_G_postcentral,0.1297405918889295,0.28800128429121175,0.026086956521739132,0.8315048428988033,0.10365363536719037
R_G_precentral,0.17274388016076,0.15578256989772904,0.01534526854219949,0.9004079483350307,0.1573986116185605
R_G_precuneus,0.06872488125685057,0.5747248322282406,0.0370843989769821,0.7622537240557827,0.03164048227986847
R_G_rectus,0.08217025940811107,0.5020776276733501,-0.0066130800146145426,0.9569914225342824,0.07555717939349653
R_G_subcallosal,-0.05115089514066497,0.676384102361703,-0.1039459261965656,0.395340959539058,-0.05279503105590064
R_G_temp_sup-G_T_transv,0.1060284983558641,0.38588911542778215,0.05009134088417976,0.6827266558519157,0.05593715747168434
R_G_temp_sup-Lateral,0.2273657289002558,0.060268172262564805,0.06382900986481549,0.6023325093851213,0.16353671903544031
R_G_temp_sup-Plan_polar,0.15473145780051153,0.20427119962793772,0.05283156740957254,0.6663695231496677,0.101899890390939
R_G_temp_sup-Plan_tempo,0.10321519912312753,0.39868953055734413,-0.05411033978808915,0.6587883692667911,0.04910485933503838
R_G_temporal_inf,0.06211180124223603,0.6121522067356524,-0.13617099013518452,0.2645663798174572,-0.07405918889294849
R_G_temporal_middle,0.279941541834125,0.01982323730090235,0.0062477164778955065,0.9593655193050605,0.2736938253562295
R_Lat_Fis-ant-Horizont,0.10471318962367557,0.391842903086576,0.08797953964194376,0.47222870447917253,0.01673364998173181
R_Lat_Fis-ant-Vertical,0.018048958713920354,0.8829750381138919,0.023785166240409213,0.8461818502279472,-0.0057362075264888596
R_Lat_Fis-post,0.05886006576543662,0.6309336562178989,-0.03507489952502741,0.7747867247061364,0.02378516624040921
R_Medial_wall,0.012714651077822435,0.9174149634508174,0.007855316039459263,0.9489224052506734,0.004859335038363171
R_Pole_occipital,-0.031019364267446115,0.8002529186080498,0.04526854219948849,0.7118679211233301,-0.014249177932042376
